run_id,entity_type,entity_id,source,coverage_score,accuracy_score,freshness_score,format_score,overall_score
2026-04-29T17:15:26.809811,company,c001,bizzy,1.0,0.562,0.0,1.0,0.625
2026-04-29T17:15:26.809811,company,c002,bizzy,1.0,0.625,0.0,1.0,0.65
2026-04-29T17:15:26.809811,company,c003,bizzy,1.0,0.5,0.0,1.0,0.6
2026-04-29T17:15:26.809811,company,c004,bizzy,1.0,0.75,0.0,1.0,0.7
2026-04-29T17:15:26.809811,company,c005,bizzy,1.0,0.875,0.0,1.0,0.75
2026-04-29T17:15:26.809811,contact,p001,bizzy,1.0,0.833,0.0,1.0,0.733
2026-04-29T17:15:26.809811,contact,p002,bizzy,1.0,0.333,0.0,1.0,0.533
2026-04-29T17:15:26.809811,contact,p003,bizzy,1.0,0.0,0.0,1.0,0.4
2026-04-29T17:15:26.809811,contact,p004,bizzy,1.0,1.0,0.0,1.0,0.8
2026-04-29T17:15:26.809811,contact,p005,bizzy,1.0,1.0,0.0,1.0,0.8
